wav_filename,text
/home/beomgon/DeepSpeech/data/Zeroth/clips/170_003_2072.wav,ㅇㅏㄴ ㅁㅣㄴ ㅅㅓㄱ S ㅇㅜ ㅅㅓㄴ S ㅅㅓㅇ ㄴㅏㄴ S ㅁㅣㄴ ㅅㅣㅁ ㅇㅡㄹ S ㅈㅗ ㄹㅗㅇ ㅎㅏ ㄴㅡㄴ S ㄷㅐ ㅌㅗㅇ ㄹㅕㅇ ㅇㅢ S ㅁㅏㄹ ㅆㅡㅁ ㅇㅣ ㅇㅓㅆ ㄷㅏ ㄱㅗ S ㅅㅐㅇ ㄱㅏㄱ S ㄷㅚ ㄴㅡㄴ ㄷㅔ ㅇㅛ
/home/beomgon/DeepSpeech/data/Zeroth/clips/170_003_2072.wav,ㅇㅜ ㄹㅣㄴ S ㅈㅓㄱ S ㅇㅜ ㅅㅓㄴ S ㅅㅗㄴ ㅇㅡㄴ S ㅇㅣ ㅅㅣㅂ S ㅇㅗ S ㅈㅜ ㄹㅗ S ㅎㅏ ㄴㅡㄴ S ㄷㅐ ㅌㅗㅇ ㄹㅕㅇ ㅇㅣ S ㅎㅏㄹ S ㅅㅜ S ㅇㅣㅆ ㅇㅓ S ㄱㅡ ㄱㅓ S ㅅㅐㅇ ㄱㅏㄱ S ㄷㅡ ㄴㅡㄴ S ㄱㅔ S ㅇㅛ S ㅇㅛ
/home/beomgon/DeepSpeech/data/Zeroth/clips/146_003_1770.wav,ㅎㅘㄴ ㄱㅡㅂ ㄱㅡㅁ ㅇㅡㄹ S ㅈㅣ ㄱㅡㅂ ㅎㅏ ㄹㅏ ㄴㅡㄴ S ㅇㅜㄹ ㅅㅏㄴ ㅅㅣ ㅇㅢ S ㅅㅣ ㅈㅓㅇ ㅁㅕㅇ ㄹㅕㅇ ㄷㅗ S ㅇㅣ ㅎㅐㅇ ㅎㅏ ㅈㅣ S ㅇㅏㄶ ㅇㅡㄴ S ㅇㅓㅂ ㅊㅔ ㄷㅐ ㅍㅛ ㄴㅡㄴ S ㅇㅣㄹ S ㅅㅣㅁ S ㅈㅐ ㅍㅏㄴ ㅇㅔ ㅅㅓ S ㅈㅣㅇ ㅇㅕㄱ S ㅅㅏㅁ S ㄴㅕㄴ S ㅇㅠ S ㅇㅝㄹ ㅇㅡㄹ S ㅅㅓㄴ ㄱㅗ ㅂㅏㄷ ㅇㅏㅆ ㄷㅏ
/home/beomgon/DeepSpeech/data/Zeroth/clips/146_003_1770.wav,ㄱㅣ ㅂㅜ ㄱㅡㅁ ㅇㅡㄹ S ㅈㅣ ㄱㅡㅂ ㅇㅡㄹ S ㅎㅏ ㅁㅕㄴ S ㅇㅜ ㅅㅓㄴ S ㅅㅣ S ㅅㅣ ㅈㅏㅇ S ㅁㅕㅇ ㅈㅣ ㅈㅓㄴ ㅁㅜㄴ ㅇㅡㄴ S ㄷㅜ S ㅁㅕㅇ ㄹㅕㅇ ㄷㅗ S ㅇㅣㄹ S ㅎㅏㄹ S ㄸㅐ S ㅎㅏ ㄴㅡㄴ S ㄱㅓ ㅈㅣ S ㄴㅣ S ㅍㅛ ㄴㅡㄴ S ㅇㅣㄹ ㅅㅣ S ㅈㅣ ㅎㅏ ㅇㅔ ㅅㅓ S ㅈㅣㄱ ㅇㅓㅂ ㅅㅏㅇ ㄱㅕㄴ ㅇㅣ ㅇㅓ ㄹㅡㄹ S ㅅㅓ ㄱㅗ S ㅂㅏㄷ ㅇㅏㅆ ㄷㅏ
/home/beomgon/DeepSpeech/data/Zeroth/clips/147_003_2999.wav,ㄱㅜㄱ ㄹㅣㅂ S ㅂㅏㄱ ㅁㅜㄹ ㄱㅘㄴ ㅇㅢ S ㅇㅕㄴ ㄱㅜ ㅇㅝㄴ S ㅌㅔ ㄹㅔ ㅈㅏ S ㅂㅗㄴ ㅌㅗ ㄹㅡ ㅊㅣ ㅎㅣ ㄴㅡㄴ S ㅈㅏ ㅅㅣㄴ ㅇㅢ S ㅈㅓ ㅅㅓ S ㅁㅣㄷ ㅇㅡㅁ S ㄸㅐ ㅁㅜㄴ ㅇㅔ S ㅌㅜ ㅇㅗㄱ ㄷㅚ ㄷㅏ S ㅇㅏ ㅇㅜ ㅅㅠ ㅂㅣ ㅊㅡ S ㄱㅏㅇ ㅈㅔ S ㅅㅜ ㅇㅛㅇ ㅅㅗ ㅇㅢ S ㅇㅕ ㅎㅗ ㅇㅘ ㅇㅢ S ㅈㅡㅇ ㅇㅣㄴ S ㅇㅔ ㅅㅓ S ㅇㅣ ㄹㅓㅎ ㄱㅔ S ㅆㅓㅆ ㅅㅡㅂ ㄴㅣ ㄷㅏ
/home/beomgon/DeepSpeech/data/Zeroth/clips/147_003_2999.wav,ㅇㅜ ㄹㅣ S ㅍㅕㅇ ㅂㅜ ㄱㅏ S ㅇㅕ ㄹㅡㅁ ㅂㅜ ㅎㅏㄴ ㅌㅔ S ㄴㅐ S ㅈㅏ ㅂㅜ ㅌㅓ S ㄷㅡ ㅅㅣ ㄴㅡㄴ S ㅈㅏ ㅅㅣㄴ ㅇㅔ S ㅅㅓ ㅅㅓ S ㅁㅣ ㄷㅡㄹ S ㄸㅐ ㅁㅜㄴ ㅇㅔ S ㅌㅡ ㄹㅗ S ㄷㅔ ㄷㅏ S ㅈㅜ ㅅㅡ S ㄱㅏㄴ ㅈㅣ S ㅅㅜ ㅇㅛ ㄱㅏ
/home/beomgon/DeepSpeech/data/Zeroth/clips/114_003_0918.wav,ㄱㅡ ㅂㅗ ㄷㅏ ㄴㅡㄴ S ㅂㅐ ㄷㅏㄹ ㅇㅢ ㅁㅣㄴ ㅈㅗㄱ S ㄱㅘㅇ ㄱㅗ ㄹㅡㄹ S ㄸㅓ ㅇㅗㄹ ㄹㅣ ㄴㅡㄴ S ㅅㅏ ㄹㅏㅁ ㅇㅣ S ㅁㅏㄶ ㅇㅡㄹ S ㄱㅓㅅ S ㄱㅏㅌ ㄷㅏ
/home/beomgon/DeepSpeech/data/Zeroth/clips/114_003_0918.wav,ㅎㅏ ㄷㅏ ㄱㅏ S ㅂㅐ ㄷㅏㄹ ㅇㅡㄹ S ㅎㅐ ㄷㅗㄱ ㅎㅏ ㄱㅗ S ㄸㅗ S ㅇㅗㄹ ㄹㅕ ㄷㅡ S ㅂㅏ ㄷㅏ ㅇㅔ S ㄲㅏ S ㅂㅐ ㄱㅗ ㅍㅡ ㄷㅏ
/home/beomgon/DeepSpeech/data/Zeroth/clips/170_003_0314.wav,ㅁㅜㄹ ㄹㅗㄴ S ㅍㅗ ㅊㅓㄴ ㅇㅣ S ㄱㅓㅌ ㅇㅡ ㄹㅗ S ㄷㅡ ㄹㅓ ㄴㅏㄴ S ㅅㅓㅇ ㅈㅓㄱ ㅁㅏㄴ ㅇㅡ ㄹㅗ S ㅇㅔㅂ ㅅㅡ ㅌㅏ ㅇㅣㄴ ㅇㅡㄹ S ㅅㅔ ㄱㅖ S ㅊㅚ ㄱㅗ S ㅈㅣ ㄷㅗ ㅈㅏ ㄹㅗ S ㄲㅗㅂ ㅇㅡㄴ S ㄱㅓㄴ S ㅇㅏ ㄴㅣ ㄷㅏ
/home/beomgon/DeepSpeech/data/Zeroth/clips/170_003_0314.wav,ㅇㅏ S ㄱㅜ ㅊㅓㅇ ㅇㅔ S ㄱㅓ ㅊㅣ ㄹㅗ S ㄷㅡㄹ ㅇㅓ ㅇㅘ S ㅅㅓㅇ ㅈㅓㄱ ㅁㅏㄴ ㅇㅡ ㄹㅗ S ㅇㅣ ㅅㅡ ㅌㅏ ㅇㅣㅁ ㅇㅡㄹ S ㅊㅣ ㄱㅗ S ㅇㅗ
